Sales,Price,Ad,A*P,Price^2,Ad^2
22845,8,1,8,64,1
20417,9,8,72,81,64
23761,5,3,15,25,9
22674,4,12,48,16,144
22782,7,5,35,49,25
23807,5,3,15,25,9
18924,10,9,90,100,81
21855,9,5,45,81,25
21749,10,4,40,100,16
22683,4,12,48,16,144
20968,6,11,66,36,121
22202,10,2,20,100,4
23241,6,5,30,36,25
19004,10,9,90,100,81
23978,4,1,4,16,1
20497,8,9,72,64,81
22322,9,3,27,81,9
22628,8,4,32,64,16
21051,10,6,60,100,36
24515,3,3,9,9,9
22126,10,2,20,100,4
22141,5,11,55,25,121
21151,9,7,63,81,49
22558,5,10,50,25,100
21734,7,8,56,49,64
22137,6,9,54,36,81
23368,5,7,35,25,49
24572,3,7,21,9,49
23732,5,4,20,25,16
24717,3,6,18,9,36
21618,8,7,56,64,49
24346,3,9,27,9,81
24041,3,11,33,9,121
18068,10,10,100,100,100
22820,8,1,8,64,1
22842,8,3,24,64,9
23166,6,6,36,36,36
20979,9,7,63,81,49
22499,9,2,18,81,4
21026,9,7,63,81,49
24599,3,6,18,9,36
23676,5,1,5,25,1
22855,6,7,42,36,49
21756,10,4,40,100,16
20976,10,6,60,100,36
22111,10,2,20,100,4
21038,6,11,66,36,121
23050,6,6,36,36,36
24054,4,7,28,16,49
22184,7,7,49,49,49
24024,4,2,8,16,4
24255,3,1,3,9,1
23635,5,1,5,25,1
20533,10,7,70,100,49
24313,3,1,3,9,1
24347,3,2,6,9,4
24102,3,11,33,9,121
24482,3,2,6,9,4
15799,10,12,120,100,144
21597,6,10,60,36,100
22450,9,3,27,81,9
18978,8,11,88,64,121
20687,7,10,70,49,100
20773,7,10,70,49,100
23681,5,5,25,25,25
22191,10,2,20,100,4
24244,4,4,16,16,16
22617,8,4,32,64,16
23139,6,6,36,36,36
22154,5,11,55,25,121
23364,4,10,40,16,100
22942,7,4,28,49,16
21639,6,10,60,36,100
22633,7,6,42,49,36
23145,5,8,40,25,64
23384,4,10,40,16,100
22232,10,2,20,100,4
22820,5,9,45,25,81
18850,10,9,90,100,81
24627,3,8,24,9,64
23091,7,1,7,49,1
24034,4,2,8,16,4
23002,7,4,28,49,16
19346,7,12,84,49,144
23127,7,1,7,49,1
24508,3,8,24,9,64
23864,5,3,15,25,9
19054,8,11,88,64,121
22178,10,2,20,100,4
23862,5,4,20,25,16
22339,8,5,40,64,25
21580,9,6,54,81,36
23114,7,3,21,49,9
21066,6,11,66,36,121
23126,7,1,7,49,1
21993,5,11,55,25,121
22952,5,9,45,25,81
24233,4,6,24,16,36
20346,9,8,72,81,64
24658,3,6,18,9,36
21884,7,8,56,49,64
22610,7,6,42,49,36
22232,10,2,20,100,4
18847,9,10,90,81,100
20109,7,11,77,49,121
20331,6,12,72,36,144
23713,5,5,25,25,25
21883,9,5,45,81,25
23460,4,10,40,16,100
21093,8,8,64,64,64
22595,5,10,50,25,100
23652,4,9,36,16,81
19690,10,8,80,100,64
23815,5,5,25,25,25
21002,6,11,66,36,121
21661,8,7,56,64,49
21572,9,6,54,81,36
22366,9,3,27,81,9
21630,5,12,60,25,144
22106,6,9,54,36,81
22643,8,4,32,64,16
23951,4,1,4,16,1
23403,6,3,18,36,9
24059,4,2,8,16,4
23387,6,2,12,36,4
22033,6,9,54,36,81
20002,7,11,77,49,121
21516,5,12,60,25,144
22572,8,4,32,64,16
22552,8,4,32,64,16
22927,7,5,35,49,25
23223,6,5,30,36,25
24287,3,1,3,9,1
24600,3,3,9,9,9
21517,5,12,60,25,144
23672,5,6,30,25,36
22034,6,9,54,36,81
20464,9,8,72,81,64
22007,10,3,30,100,9
16957,9,12,108,81,144
22740,8,2,16,64,4
22576,5,10,50,25,100
24257,3,10,30,9,100
16825,9,12,108,81,144
20463,6,12,72,36,144
21541,6,10,60,36,100
21884,9,5,45,81,25
22047,9,5,45,81,25
24270,4,5,20,16,25
24248,4,5,20,16,25
22737,8,3,24,64,9
23271,6,5,30,36,25
22653,8,4,32,64,16
24576,3,7,21,9,49
18095,8,12,96,64,144
23815,5,2,10,25,4
22886,7,5,35,49,25
23843,5,5,25,25,25
21046,10,6,60,100,36
20544,8,9,72,64,81
20384,6,12,72,36,144
21130,6,11,66,36,121
23495,5,7,35,25,49
18869,10,9,90,100,81
23943,4,7,28,16,49
